image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,fibercount,fibercount,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth,z_depth,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,timepoint,position
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s23,23,93.19575,41.21908333,0.911496667,2.4417125,95.52,38.0835,0.908615,2.3784,24.0,24.0,68.04584062,9.722351061,0.044172605,0.232502655,46.0,46.0,16963,13.4539,13970,811,17.2256,106,1.4871,0.0299,0.4189,0.03909,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s24,24,84.04420571,39.04414286,0.911432857,2.451342857,91.848,36.374,0.91808,2.4269,35.0,35.0,66.39029431,7.8621199,0.049867367,0.2194398,48.0,48.0,17274,13.1757,14215,779,18.2478,94,1.4906,0.0396,0.4552,0.02283,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s25,25,88.26595238,44.96247619,0.903512857,2.343185714,94.214,40.122,0.90559,2.3303,21.0,21.0,61.11666061,16.01864035,0.049220508,0.143386983,50.0,50.0,17774,12.7488,14671,769,19.078,107,1.4973,0.0296,0.4528,0.05044,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s26,26,83.42408519,42.017,0.907993333,2.381737037,94.086,38.157,0.91763,2.3753,27.0,27.0,67.38000222,12.08898122,0.041337542,0.205779618,52.0,52.0,17554,12.9336,14551,773,18.8241,99,1.4952,0.0321,0.4616,0.06131,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s27,27,83.7672875,44.07803125,0.915348125,2.403428125,73.288,37.9905,0.922965,2.37295,32.0,32.0,67.11872757,13.41946624,0.037841188,0.204471374,54.0,54.0,17565,12.9243,14630,755,19.3775,116,1.4917,0.0305,0.4923,0.04454,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s28,28,108.76525,43.41075,0.927808125,2.34716875,141.765,43.692,0.939535,2.28205,16.0,16.0,63.27814058,7.477281646,0.042943424,0.221130515,56.0,56.0,17687,12.8213,14484,758,19.1082,109,1.4957,0.0316,0.4934,0.0599,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s3,3,112.4749138,52.91417886,0.884524472,3.580076423,123.08,45.158,0.90467,3.484,123.0,123.0,50.22960012,23.41749952,0.084089144,0.719113274,6.0,6.0,13359,17.6231,10775,512,21.0449,80,1.4177,0.0243,0.2503,0.1349,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s4,4,104.6356452,49.73388889,0.896439111,3.573340741,116.1,41.852,0.91154,3.5034,135.0,135.0,53.99468408,22.28755301,0.065918622,0.677412864,8.0,8.0,13437,17.5092,11035,508,21.7224,74,1.4228,0.0252,0.2379,0.1504,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s5,5,107.2843156,50.07564407,0.897377203,3.478025424,121.68,42.7445,0.907685,3.39885,118.0,118.0,56.48776143,21.4729383,0.057143996,0.690302958,10.0,10.0,13307,17.6998,10846,534,20.3109,68,1.4178,0.0265,0.2416,0.1334,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s6,6,110.7701651,49.52138158,0.898426842,3.477934211,120.525,41.915,0.91303,3.4589,152.0,152.0,52.74699573,19.86059435,0.063480435,0.619622659,12.0,12.0,13373,17.6026,10894,485,22.4619,79,1.4178,0.0297,0.2605,0.1372,262144,10,5
