image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,fibercount,fibercount,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth,z_depth,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,timepoint,position
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s1,1,100.4216669,57.7534198,0.907585631,5.626676109,108.43,49.695,0.92357,5.4445,293.0,293.0,55.13618334,27.77387745,0.069541257,1.065781746,2.0,2.0,12302,19.3091,10010,402,24.9005,68,1.3936,0.0251,0.1501,0.08724,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s10,10,98.06038155,58.31111327,0.9085989,5.762709061,105.61,48.88,0.91828,5.6464,309.0,309.0,53.89319127,28.4668255,0.059379181,1.170098437,20.0,20.0,13773,17.0332,11279,439,25.6925,102,1.4262,0.0275,0.3232,0.08822,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s11,11,99.00575183,59.09877076,0.907866944,5.636981063,107.82,49.762,0.92496,5.4977,301.0,301.0,56.79161527,29.25114647,0.065628924,1.12392376,22.0,22.0,13421,17.5324,10928,429,25.4732,100,1.4211,0.0265,0.3649,0.07401,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s12,12,105.0830681,57.945997,0.903286156,5.78293003,115.53,49.644,0.92293,5.5921,333.0,333.0,54.29308046,28.69027362,0.068472196,1.16042261,24.0,24.0,13719,17.1082,11328,400,28.32,104,1.4232,0.0262,0.3861,0.09899,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s13,13,104.3020193,58.1475,0.906146288,5.724223926,111.285,48.779,0.92365,5.51585,326.0,326.0,53.58990774,30.48125564,0.071098923,1.164174518,26.0,26.0,13953,16.7877,11392,435,26.1885,100,1.4275,0.023,0.3763,0.1205,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s14,14,106.3869592,60.42666776,0.902430734,5.744097039,113.83,48.7885,0.926285,5.58615,304.0,304.0,53.02000181,33.63365816,0.085557841,1.15102704,28.0,28.0,13569,17.3194,11044,384,28.7604,96,1.4241,0.0246,0.3706,0.1221,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s15,15,99.24532583,59.23839879,0.910586647,5.628456495,110.7,49.821,0.92541,5.4455,331.0,331.0,57.58044301,29.37071793,0.06405854,1.044297221,30.0,30.0,14806,15.7053,12033,440,27.3477,113,1.4449,0.0275,0.3807,0.1229,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s16,16,101.7582447,61.09277508,0.905698693,5.533505471,117.15,51.41,0.92698,5.4193,329.0,329.0,58.42266222,31.10296369,0.073911331,0.98416905,32.0,32.0,14165,16.5065,11630,423,27.4941,95,1.4326,0.0249,0.366,0.1148,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s17,17,105.1973746,61.15612384,0.902558111,5.474693498,115.32,49.073,0.91885,5.3975,323.0,323.0,54.62126069,33.49982527,0.079024137,0.971665034,34.0,34.0,14036,16.6766,11596,452,25.6549,111,1.4327,0.0235,0.3528,0.1169,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s18,18,109.8186566,59.59978049,0.909690488,5.415431402,121.72,49.419,0.92331,5.3587,328.0,328.0,54.74373145,30.3238478,0.05744773,1.024281893,36.0,36.0,14082,16.6156,11601,468,24.7885,98,1.4313,0.0251,0.3347,0.1343,262144,10,0
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos0_t10_s19,19,100.6852014,60.19149,0.905369033,5.486431,110.885,47.7045,0.92582,5.2914,300.0,300.0,56.56144743,33.56825162,0.073545525,1.013492917,38.0,38.0,13918,16.835,11563,449,25.7528,104,1.431,0.0288,0.2917,0.1139,262144,10,0
